image_id,image_path,alpha,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,runtime_ms
orientation_batch_00,real_watermarked_images_sd15_512/orientation_batch_00.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,158.44790649414062,158.44790649414062,0.0,False,nan,nan,0.0,0.0,258.511474609375,0.0,0.0,0.0,0.0,0.0,0.0,258.511474609375,0.0,45.80817281493594,0.999544022707219,12.534542260936474,0.026927072670770644,0.35799849033355713,5.6658609537407756e-05,0.23370203375816345,0.9920340736876131,0.9999987427528451,0.9948751726236528,1763.3830029517412
orientation_batch_00,real_watermarked_images_sd15_512/orientation_batch_00.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,175.609375,175.609375,0.0,False,nan,nan,0.0,0.0,258.5009765625,0.0,0.0,0.0,0.0,0.0,0.0,258.5009765625,0.0,43.87017429930397,0.9992877995612606,12.530328279605687,0.026942996111828123,0.7162986993789673,9.047807543538511e-05,0.4361305832862854,0.98396862015253,0.9999979922673188,0.9903705147078188,1581.0036342591047
orientation_batch_00,real_watermarked_images_sd15_512/orientation_batch_00.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,189.57907104492188,189.57907104492188,0.0,False,nan,nan,0.0,0.0,258.4847412109375,0.0,0.0,0.0,0.0,0.0,0.0,258.4847412109375,0.0,42.28674354469524,0.9989748716455719,12.525070742226532,0.02696077407375953,0.9900063276290894,0.00013409518578555435,0.6801446676254272,0.9777726036784177,0.9999970242855827,0.9848827934515347,1521.5456914156675
orientation_batch_01,real_watermarked_images_sd15_512/orientation_batch_01.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,165.4275665283203,165.4275665283203,0.0,False,nan,nan,0.0,0.0,258.5462646484375,0.0,0.0,0.0,0.0,0.0,0.0,258.5462646484375,0.0,45.450482067781635,0.9995030578223449,11.567426477142362,-0.08356039188974389,2.915065288543701,2.8194324841024354e-05,2.052720785140991,0.939831647439859,0.9999994253868664,0.9572216629357501,1414.3742695450783
orientation_batch_01,real_watermarked_images_sd15_512/orientation_batch_01.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,183.2679443359375,183.2679443359375,0.0,False,nan,nan,0.0,0.0,258.5786437988281,0.0,0.0,0.0,0.0,0.0,0.0,258.5786437988281,0.0,43.51236342479575,0.9992237144726895,11.563986630566978,-0.08354347959155321,3.5972037315368652,5.139564018463716e-05,2.5566651821136475,0.9255752370671564,0.9999989523978927,0.9464916600223378,1405.867489054799
orientation_batch_01,real_watermarked_images_sd15_512/orientation_batch_01.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,197.33871459960938,197.33871459960938,0.0,False,nan,nan,0.0,0.0,258.6073303222656,0.0,0.0,0.0,0.0,0.0,0.0,258.6073303222656,0.0,41.92884665416696,0.9988824979517111,11.559652305127091,-0.08350895168864207,4.105301856994629,9.058383875526488e-05,2.917435646057129,0.9148198047731951,0.9999981532716546,0.9387112360696683,1396.6511953622103
orientation_batch_02,real_watermarked_images_sd15_512/orientation_batch_02.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,174.47494506835938,174.47494506835938,0.0,False,nan,nan,0.0,0.0,258.8155822753906,0.0,0.0,0.0,0.0,0.0,0.0,258.8155822753906,0.0,45.34250579862955,0.9995001451895651,12.542046411804701,0.11419602746638445,2.89735746383667,8.694677671883255e-05,1.9190731048583984,0.9372182073609118,0.999998128447912,0.957855051620204,1371.7154003679752
orientation_batch_02,real_watermarked_images_sd15_512/orientation_batch_02.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,191.69065856933594,191.69065856933594,0.0,False,nan,nan,0.0,0.0,258.90936279296875,0.0,0.0,0.0,0.0,0.0,0.0,258.90936279296875,0.0,43.40443928001104,0.9992192534747751,12.537412473542638,0.11410552295368448,3.445006847381592,0.00021131846006028354,2.3033838272094727,0.9251532790217349,0.9999954503857831,0.9492070891255648,1387.8378327935934
orientation_batch_02,real_watermarked_images_sd15_512/orientation_batch_02.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,205.14382934570312,205.14382934570312,0.0,False,nan,nan,0.0,0.0,258.99957275390625,0.0,0.0,0.0,0.0,0.0,0.0,258.99957275390625,0.0,41.82091852848151,0.9988761882948053,12.531630472846583,0.11399012166756621,4.010980606079102,0.00044481540680862963,2.7119126319885254,0.9125888987935005,0.9999904220389786,0.9399502242235396,1373.9462848752737
orientation_batch_03,real_watermarked_images_sd15_512/orientation_batch_03.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,159.6098175048828,159.6098175048828,0.0,False,nan,nan,0.0,0.0,258.4284362792969,0.0,0.0,0.0,0.0,0.0,0.0,258.4284362792969,0.0,45.96119302655317,0.9995625677828291,11.65122828141708,-0.14648733372328604,2.59771728515625,0.00011908320448128507,1.7160718441009521,0.9463344734833683,0.9999975649533338,0.9642863051200847,1392.7194084972143
